id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Verses,Cypher Bloom,hip hop,energetic,0.79,95,0.62,0.85,0.12
12,Moonlit Sonata Drift,Amber Quartet,classical,melancholy,0.22,68,0.30,0.20,0.95
13,Pulse Reactor,Volt Cascade,edm,uplifting,0.95,128,0.88,0.94,0.04
14,Willow Creek Road,The Hollow Pines,folk,nostalgic,0.44,102,0.58,0.47,0.82
15,Iron Requiem,Ashen Throne,metal,aggressive,0.98,168,0.34,0.55,0.03
16,Island Time,Sunward Tide,reggae,playful,0.61,92,0.83,0.78,0.28
17,Groove Machine,The Funk Syndicate,funk,triumphant,0.84,116,0.79,0.91,0.14
18,Delta Sorrow,Rufus Lowe,blues,dark,0.39,74,0.28,0.42,0.74
19,Velvet Whisper,Mara Sol,r&b,romantic,0.52,86,0.66,0.71,0.31
20,Stardust Reverie,Aurora Fields,dream pop,dreamy,0.48,100,0.55,0.49,0.58
